"filename", "language", "JSON", "C#", "XML", "Markdown", "Properties", "comment", "blank", "total"
"c:\Users\emilj\Documents\SDU\OOP\oop-exercises\05. Typer\5.1 Hello, World\Program.cs", "C#", 0, 9, 0, 0, 0, 0, 2, 11
"c:\Users\emilj\Documents\SDU\OOP\oop-exercises\05. Typer\5.4 Heltallige Grænser\Program.cs", "C#", 0, 11, 0, 0, 0, 0, 1, 12
"c:\Users\emilj\Documents\SDU\OOP\oop-exercises\07. Variable\7.1 Areal af Cirkler\Program.cs", "C#", 0, 17, 0, 0, 0, 0, 3, 20
"c:\Users\emilj\Documents\SDU\OOP\oop-exercises\07. Variable\7.2 Sum af Areal af Cirkler\Program.cs", "C#", 0, 18, 0, 0, 0, 0, 3, 21
"c:\Users\emilj\Documents\SDU\OOP\oop-exercises\07. Variable\7.3 Celcius til Fahrenheit\Program.cs", "C#", 0, 11, 0, 0, 0, 0, 2, 13
"c:\Users\emilj\Documents\SDU\OOP\oop-exercises\07. Variable\7.4 Epoch\7.4 Epoch.csproj", "XML", 0, 0, 9, 0, 0, 0, 3, 12
"c:\Users\emilj\Documents\SDU\OOP\oop-exercises\07. Variable\7.4 Epoch\Program.cs", "C#", 0, 14, 0, 0, 0, 0, 7, 21
"c:\Users\emilj\Documents\SDU\OOP\oop-exercises\07. Variable\7.4 Epoch\bin\Debug\net8.0\7.4 Epoch.deps.json", "JSON", 23, 0, 0, 0, 0, 0, 0, 23
"c:\Users\emilj\Documents\SDU\OOP\oop-exercises\07. Variable\7.4 Epoch\bin\Debug\net8.0\7.4 Epoch.runtimeconfig.json", "JSON", 12, 0, 0, 0, 0, 0, 0, 12
"c:\Users\emilj\Documents\SDU\OOP\oop-exercises\07. Variable\7.4 Epoch\obj\7.4 Epoch.csproj.nuget.dgspec.json", "JSON", 73, 0, 0, 0, 0, 0, 0, 73
"c:\Users\emilj\Documents\SDU\OOP\oop-exercises\07. Variable\7.4 Epoch\obj\7.4 Epoch.csproj.nuget.g.props", "XML", 0, 0, 16, 0, 0, 0, 0, 16
"c:\Users\emilj\Documents\SDU\OOP\oop-exercises\07. Variable\7.4 Epoch\obj\7.4 Epoch.csproj.nuget.g.targets", "XML", 0, 0, 2, 0, 0, 0, 0, 2
"c:\Users\emilj\Documents\SDU\OOP\oop-exercises\07. Variable\7.4 Epoch\obj\Debug\net8.0\.NETCoreApp,Version=v8.0.AssemblyAttributes.cs", "C#", 0, 3, 0, 0, 0, 1, 1, 5
"c:\Users\emilj\Documents\SDU\OOP\oop-exercises\07. Variable\7.4 Epoch\obj\Debug\net8.0\7.4 Epoch.AssemblyInfo.cs", "C#", 0, 9, 0, 0, 0, 9, 5, 23
"c:\Users\emilj\Documents\SDU\OOP\oop-exercises\07. Variable\7.4 Epoch\obj\Debug\net8.0\7.4 Epoch.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, 0, 13, 0, 1, 14
"c:\Users\emilj\Documents\SDU\OOP\oop-exercises\07. Variable\7.4 Epoch\obj\Debug\net8.0\7.4 Epoch.GlobalUsings.g.cs", "C#", 0, 7, 0, 0, 0, 1, 1, 9
"c:\Users\emilj\Documents\SDU\OOP\oop-exercises\07. Variable\7.4 Epoch\obj\Debug\net8.0\7.4 Epoch.sourcelink.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\emilj\Documents\SDU\OOP\oop-exercises\07. Variable\7.4 Epoch\obj\project.assets.json", "JSON", 79, 0, 0, 0, 0, 0, 0, 79
"c:\Users\emilj\Documents\SDU\OOP\oop-exercises\07. Variable\7.5 Inkrementering af Måned\7.5 Inkrementering af Måned.csproj", "XML", 0, 0, 9, 0, 0, 0, 3, 12
"c:\Users\emilj\Documents\SDU\OOP\oop-exercises\07. Variable\7.5 Inkrementering af Måned\Program.cs", "C#", 0, 15, 0, 0, 0, 0, 8, 23
"c:\Users\emilj\Documents\SDU\OOP\oop-exercises\07. Variable\7.5 Inkrementering af Måned\bin\Debug\net8.0\7.5 Inkrementering af Måned.deps.json", "JSON", 23, 0, 0, 0, 0, 0, 0, 23
"c:\Users\emilj\Documents\SDU\OOP\oop-exercises\07. Variable\7.5 Inkrementering af Måned\bin\Debug\net8.0\7.5 Inkrementering af Måned.runtimeconfig.json", "JSON", 12, 0, 0, 0, 0, 0, 0, 12
"c:\Users\emilj\Documents\SDU\OOP\oop-exercises\07. Variable\7.5 Inkrementering af Måned\obj\7.5 Inkrementering af Måned.csproj.nuget.dgspec.json", "JSON", 73, 0, 0, 0, 0, 0, 0, 73
"c:\Users\emilj\Documents\SDU\OOP\oop-exercises\07. Variable\7.5 Inkrementering af Måned\obj\7.5 Inkrementering af Måned.csproj.nuget.g.props", "XML", 0, 0, 16, 0, 0, 0, 0, 16
